Description,Category
LE CAFE DU PARC 02/18 PURCHASE IRVINE CA,Cofee Shops
LS ROCK N ROAD CYCLERY 02/18 PURCHASE XXX-XX86722 CA,Bike
VILLAGE MARKET 02/18 PURCHASE IRVINE CA,Market
STARBUCKS STORE 28506 02/19 PURCHASE IRVINE CA,Cofee Shops
WHOLEFDS IRV # 02/19 PURCHASE IRVINE CA,Market
LUNA GRILL 007 02/20 PURCHASE IRVINE CA,Restaurants
VILLAGE M 41 P 02/20 PURCHASE IRVINE CA,Market
TARGET T- 900 02/21 PURCHASE Irvine CA,Utilities
BANK OF AMERICA CREDIT CARD Bill Payment,Credit Card Payments
BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD,Paycheck
BESTBUYCOMXXXXX4527387 02/22 PURCHASE 888BESTBUY MN,Electronics
IKEA ORANGE CO 02/25 PURCHASE COSTA MESA CA,Furnitures
VILLAGE MARKET 02/25 PURCHASE IRVINE CA,Market
NEWEGG INC. 02/26 PURCHASE 800-390-1119 CA,Electronics
MAIDO 02/26 PURCHASE COSTA MESA CA,Restaurants
TARGET T- 900 03/01 PURCHASE Irvine CA,Market
The Park Apartme DES:WEB PMTS ID:PC91V9 INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB,Rent
Bank of America Credit Card Bill Payment,Credit Card Payments
BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD,Paycheck
ACTIVISION BLIZZ DES:DIRECT-PAY ID: 34788578 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD,Reimbursements
GOOGLE *FIBER GSzH52 03/18 PURCHASE g.co/helppay# CA,Internet
Bank of America Credit Card Bill Payment,Credit Card Payments
BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD,Paycheck
SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB,Electricity
The Park Apartme DES:WEB PMTS ID:RLYGX9 INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB,Rent
SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX5554 CO ID:XXXXX52494 WEB,Gas
Online Banking transfer to SAV 0501 Confirmation# XXXXX49535,Savings
VENMO* 04/05 PMNT SENT Visa Direct NY,Uncategorized
The Park Apartme DES:WEB PMTS ID:XTFSZ9 INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB,Rent
BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD,Paycheck
ACTIVISION BLIZZ DES:DIRECT-PAY ID: 37291140 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD,Reimbursements
VENMO* 04/07 PMNT SENT Visa Direct NY,Home Improvement
VENMO* 04/07 PMNT SENT Visa Direct NY,Home Improvement
TARGET 00021287 04/12 MOBILE PURCHASE IRVINE CA,Market
TARGET 00021287 04/12 MOBILE PURCHASE IRVINE CA,Market
Subway 27688 04/12 MOBILE PURCHASE Irvine CA,Fast Food
Subway 27688 04/15 MOBILE PURCHASE Irvine CA,Fast Food
GOOGLE *FIBER V3PN34 04/18 PURCHASE g.co/helppay# CA,Internet
EXPENSEPRO LLC DES:ACH ITEM ID:BLIZZARD-1337 INDN:F NASCIMENTO CO ID:XXXXX30560 PPD,Reimbursements
BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD,Paycheck
Bank of America Credit Card Bill Payment,Credit Card Payments
ACM SIGGRAPH 04/21 PURCHASE 212-626-0596 NY,Dues & Subscriptions
SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB,Electricity
SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX6162 CO ID:XXXXX52494 WEB,Gas
ACTIVISION BLIZZ DES:DIRECT-PAY ID: 39099924 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD,Reimbursements
BKOFAMERICA MOBILE 04/29 XXXXX23358 DEPOSIT *MOBILE CA,Uncategorized
The Park Apartme DES:WEB PMTS ID:L0K12B INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB,Rent
BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD,Paycheck
ACTIVISION BLIZZ DES:DIRECT-PAY ID: 39715007 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD,Reimbursements
BANK OF AMERICA CREDIT CARD Bill Payment,Credit Card Payments
Online Banking transfer to SAV 0501 Confirmation# XXXXX27207,Savings
Wise Inc DES:WISE ID:TrnWise INDN:Filipe de Carvalho Nas CO ID:XXXXX33521 PPD,Uncategorized
Wise Inc DES:WISE ID:TrnWise INDN:Filipe de Carvalho Nas CO ID:XXXXX33521 PPD,Uncategorized
BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD,Paycheck
GOOGLE *FIBER w7LKFL 05/18 PURCHASE g.co/helppay# CA,Internet
VENMO* 05/20 PMNT SENT Visa Direct NY,Entertainment
ACTIVISION BLIZZ DES:DIRECT-PAY ID: 42753723 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD,Reimbursements
SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB,Electricity
SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX8723 CO ID:XXXXX52494 WEB,Gas
Carls Jr 296 05/27 MOBILE PURCHASE IRVINE CA,Fast Food
MCDONALD'S F16133 05/28 MOBILE PURCHASE IRVINE CA,Fast Food
BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD,Paycheck
UBER TRIP HELP.UBER.COMCA,Private Transportation
SQ *THE BURNT GROUP Irvine CA,Cofee Shops
UBER TRIP HELP.UBER.COMCA,Private Transportation
IKEA ORANGE COUNTY LLC COSTA MESA CA,Furnitures
LE CAFE DU PARC IRVINE CA,Cofee Shops
UBER TRIP HELP.UBER.COMCA,Private Transportation
CHEVRON 0095418 IRVINE CA,Cofee Shops
SQ *TUK TUK THAI STREET FIrvine CA,Restaurants
CHEVRON 0095418 IRVINE CA,Cofee Shops
USPS CHANGE OF ADDRESS 800-238-3150 TN,Utilities
UBER TRIP HELP.UBER.COMCA,Private Transportation
SQ *TUK TUK THAI STREET FIrvine CA,Restaurants
IHOP #0929 IRVINE CA,Cofee Shops
UBER TRIP HELP.UBER.COMCA,Private Transportation
TST* IRVINE IMPROV UMAMI IRVINE CA,Restaurants
UBER TRIP HELP.UBER.COMCA,Private Transportation
AMZN Mktp US*HE4LI15L2 Amzn.com/billWA,Utilities
TST* IRVINE IMPROV UMAMI IRVINE CA,Restaurants
LUNA GRILL 007 IRVINE CA,Restaurants
VILLAGE MARKET IRVINE IRVINE CA,Market
Amazon.com*HE6XG42B1 Amzn.com/billWA,Utilities
IHOP #0929 IRVINE CA,Cofee Shops
TST* IRVINE IMPROV UMAMI IRVINE CA,Restaurants
UBER TRIP HELP.UBER.COMCA,Private Transportation
PAYMENT - THANK YOU,Credit Card Payments
UBER TRIP HELP.UBER.COMCA,Private Transportation
UBER TRIP HELP.UBER.COMCA,Private Transportation
LE CAFE DU PARC IRVINE CA,Cofee Shops
PAYMENT - THANK YOU,Credit Card Payments
Subway 27688 Irvine CA,Fast Food
BESTBUYCOM806746293106 888BESTBUY MN,Electronics
AMZN Mktp US*HD4RQ42F2 Amzn.com/billWA,Office Supplies
TARGET.COM * 800-591-3869 MN,Market
AMZN Mktp US*HD1DY9IC2 Amzn.com/billWA,Office Supplies
TST* IRVINE IMPROV UMAMI IRVINE CA,Restaurants
LE CAFE DU PARC IRVINE CA,Cofee Shops
TARGET 00021287 IRVINE CA,Market
TST* PIZZERIA MOZZA NEWPORT BEACHCA,Restaurants
TARGET 00021287 IRVINE CA,Home Improvement
TARGET 00021287 IRVINE CA,Home Improvement
TST* Sidecar Doughnuts anSanta Monica CA,Cofee Shops
LYFT *RIDE SAT 8AM lyft.com CA,Private Transportation
PY *CAFFE LUXXE - LONG BELONG BEACH CA,Cofee Shops
FOREIGN TRANSACTION FEE,Entertainment
Amazon Prime Canais SAO PAULO,Entertainment
SQ *FTW WHITTIER Whittier CA,Restaurants
TARGET 00021287 IRVINE CA,Market
Subway 27688 Irvine CA,Fast Food
PAR*FOGO IRVINE IRVINE CA,Restaurants
LE CAFE DU PARC IRVINE CA,Cofee Shops
AMZN Mktp US*H59Z888K1 Amzn.com/billWA,Office Supplies
AMAZON.COM*H56EP4WB2 AMZNAMZN.COM/BILLWA,Office Supplies
VILLAGE MARKET IRVINE IRVINE CA,Market
LE CAFE DU PARC IRVINE CA,Cofee Shops
AMAZON.COM AMZN.COM/BILL AMZN.COM/BILLWA,Reimbursements
AMZN Mktp US*H51EH3Y12 Amzn.com/billWA,Home Improvement
TARGET 00021287 IRVINE CA,Market
Subway 27688 Irvine CA,Fast Food
FEDEX 940816422507 MEMPHIS TN,Uncategorized
FEDEX OFFIC30600003061 LAGUNA HILLS CA,Uncategorized
TARGET 00021287 IRVINE CA,Home Improvement
B&H PHOTO 800-606-6969 800-2215743 NY,Reimbursements
TARGET 00021287 IRVINE CA,Home Improvement
TARGET 00021287 IRVINE CA,Market
Subway 27688 Irvine CA,Fast Food
PAYMENT - THANK YOU,Credit Card Payments
LUNA GRILL 007 IRVINE CA,Restaurants
RALPHS #0278 LOS ANGELES CA,Market
STARBUCKS STORE 28506 IRVINE CA,Cofee Shops
TST* Wafu Sushi Costa Mesa CA,Restaurants
WHOLEFDS IRV #10614 IRVINE CA,Market
FOREIGN TRANSACTION FEE,Entertainment
Amazon Prime Canais SAO PAULO,Entertainment
AMZN Mktp US*HY5918FJ1 Amzn.com/billWA,Home Improvement
TARGET 00021287 IRVINE CA,Market
Subway 27688 Irvine CA,Fast Food
WHOLEFDS IRV #10614 IRVINE CA,Market
LS ROCK N ROAD CYCLERY 408-7786722 CA,Bike
AMZN Mktp US*HS2UQ3LV1 Amzn.com/billWA,Personal Care
NEKTER JUICE BAR 7077 IRVINE CA,Cofee Shops
FOREIGN TRANSACTION FEE,Entertainment
Amazon Prime Canais SAO PAULO,Entertainment
TARGET 00021287 IRVINE CA,Market
Subway 27688 Irvine CA,Fast Food
RITE AID 06717 IRVINE CA,Pharmacy
Subway 27688 Irvine CA,Fast Food
AMZN Mktp US*HS4QJ25X2 Amzn.com/billWA,Personal Care
AMZN Mktp US*HS1Q375P2 Amzn.com/billWA,Personal Care
CHAMPS - 15081 IRVINE CA,Clothing/Shoes
CASH EQUIVALENT - TRANSACTION FEE,Service Charges/Fees
Wise 188-89083833 NY,Service Charges/Fees
USH TICKETING ONLINE 800-864-8377 CA,Entertainment
TARGET 00021287 IRVINE CA,Market
REGAL IRVINE 21 1010 IRVINE CA,Entertainment
DISNEYLAND TICKETS 714-781-4669 CA,Entertainment
MS* FREEHANDLOSANGELE HTTPSWWW.FREENY,Hotels
WF WAYFAIR3902229187 866-263-8325 MA,Home Improvement
TENDER GREENS IRVINE SP IRVINE CA,Restaurants
PAYMENT - THANK YOU,Credit Card Payments
LYFT *RIDE FRI 5PM lyft.com CA,Public Transportation
UBER TRIP HELP.UBER.COMCA,Public Transportation
WHOLEFDS DLA #10546 LOS ANGELES CA,Market
ALLIANZ INSURANCE ALLIANZINS.USVA,Insurance
ASSOCIATION FOR COMPUTING212-626-0500 NY,Dues & Subscriptions
UBER* TRIP WWW.UBER.COM CA,Private Transportation
UBER TRIP HELP.UBER.COMCA,Private Transportation
LA METRO 7TH ST LOS ANGELES CA,Public Transportation
LYFT *RIDE SUN 11AM lyft.com CA,Private Transportation
IHOP #797 LOS ANGELES CA,Cofee Shops
JURASSIC OUTFITTERS UNIVERSAL CITCA,Gifts
TST* Cassells Hamburgers Los Angeles CA,Restaurants
AMTRAK .COM 1110659024158WASHINGTON DC,Public Transportation
SHAKE SHACK - 1170 LOS ANGELES CA,Restaurants
LA METRO 7TH ST LOS ANGELES CA,Public Transportation
AMTRAK MOBIL1130613000334WASHINGTON DC,Public Transportation
AMTRAK MOBIL1130726056264WASHINGTON DC,Public Transportation
AMTRAK MOBIL1130623070533WASHINGTON DC,Public Transportation
TARGET 00021287 IRVINE CA,Market
UBER TRIP HELP.UBER.COMCA,Private Transportation
DLR KNICK'S KNACKS ANAHEIM CA,Gifts
DLR KNICK'S KNACKS ANAHEIM CA,Gifts
DLR GRIZZLY PEAKS ANAHEIM CA,Fast Food
DLR FLO'S V8 CAFE ANAHEIM CA,Cofee Shops
Subway 27688 Irvine CA,Fast Food
IHOP #797 LOS ANGELES CA,Cofee Shops
FOREIGN TRANSACTION FEE,Entertainment
Amazon Prime Canais SAO PAULO,Entertainment
VILLAGE MARKET IRVINE CA,Market
TWX*WBSTUDIOTOUR 818-977-8687 CA,Entertainment
AMTRAK .COM 1170723096376WASHINGTON DC,Public Transportation
LYFT *1 RIDE 04-29 lyft.com CA,Private Transportation
AMTRAK MOBIL1190659065468WASHINGTON DC,Public Transportation
IN N OUT BURGER 102 HOLLYWOOD CA,Fast Food
IHOP #797 LOS ANGELES CA,Cofee Shops
UBER TRIP HELP.UBER.COMCA,Private Transportation
UBER TRIP HELP.UBER.COMCA,Private Transportation
SQ *BEN & JERRY'S HOLLYWOLos Angeles CA,Cofee Shops
LA METRO UNION STN LOS ANGELES CA,Public Transportation
LYFT *CANCEL FEE lyft.com CA,Private Transportation
MACYS DOWNTOWN LA LOS ANGELES CA,Electronics
WB Studio Enterprises IncBurbank CA,Entertainment
UBER TRIP HELP.UBER.COMCA,Private Transportation
TARGET 00021287 IRVINE CA,Market
Subway 27688 Irvine CA,Fast Food
LUNA GRILL 007 IRVINE CA,Restaurants
VILLAGE MARKET IRVINE CA,Market
FOREIGN TRANSACTION FEE,Entertainment
Amazon Prime Canais SAO PAULO,Entertainment
AMZN Mktp US*PL1Q15U03 Amzn.com/billWA,Home Improvement
BESTBUYCOM806760578473 888BESTBUY MN,Electronics
AMZN Mktp US*6L17X10O3 Amzn.com/billWA,Home Improvement
TARGET 00021287 IRVINE CA,Market
Subway 27688 Irvine CA,Fast Food
VILLAGE MARKET IRVINE CA,Market
PAYMENT - THANK YOU,Credit Card Payments
FOREIGN TRANSACTION FEE,Entertainment
AmazonPrimeBR SAO PAULO,Entertainment
AMZN Mktp US*229703H33 Amzn.com/billWA,Home Improvement
AMZN Mktp US*3S2JW9ZW3 Amzn.com/billWA,Home Improvement
TARGET 00021287 IRVINE CA,Market
REGAL IRVINE 21 1010 IRVINE CA,Entertainment
VILLAGE MARKET IRVINE CA,Market
LE CAFE DU PARC IRVINE CA,Cofee Shops
Subway 27688 Irvine CA,Fast Food
VILLAGE MARKET IRVINE CA,Market
Amazon.com*7B11S5L63 Amzn.com/billWA,Home Improvement
TST* Poached NeighborhoodIrvine CA,Cofee Shops
BURGER LOUNGE IRVINE IRVINE CA,Restaurants
REGAL IRVINE 21 1010 IRVINE CA,Entertainment
WHOLEFDS IRV #10614 IRVINE CA,Market
LE CAFE DU PARC IRVINE CA,Cofee Shops
AMZN Mktp US*G93WQ2VE3 Amzn.com/billWA,Home Improvement
VILLAGE MARKET IRVINE CA,Market
FOREIGN TRANSACTION FEE,Entertainment
Amazon Prime Canais SAO PAULO,Entertainment
Agent Assisted transfer from CHK 0491 Confirmation# XXXXX54876,Savings
BKOFAMERICA MOBILE 02/15 XXXXX30285 DEPOSIT *MOBILE CA,Paycheck
Interest Earned,Interest
Interest Earned,Interest
Online Banking transfer from CHK 0491 Confirmation# XXXXX49535,Savings
Federal Withholding,Investment Account Fees/Charges
Interest Earned,Interest
Online Banking transfer from CHK 0491 Confirmation# XXXXX27207,Savings
Federal Withholding,Investment Account Fees/Charges
Interest Earned,Interest
Federal Withholding,Investment Account Fees/Charges
Interest Earned,Interest
Federal Withholding,Investment Account Fees/Charges
Interest Earned,Interest
Federal Withholding,Investment Account Fees/Charges
Interest Earned,Interest
