Description,,Summary Amt.
Beginning balance as of 02/20/2023,,"23,363.65"
Total credits,,"115,133.07"
Total debits,,"-132,729.50"
Ending balance as of 07/31/2024,,"5,767.22"

Date,Description,Amount,Running Bal.
09/25/2023,"Online Banking transfer to SAV 0501 Confirmation# XXXXX81092","-2,000.00","2,480.65"
09/29/2023,"ACTIVISION BLIZZ DES:DIRECT-PAY ID: 53615361 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD","40.99","2,521.64"
10/03/2023,"The Park Apartme DES:WEB PMTS ID:2M8FNB INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,472.18","49.46"
10/06/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.26","2,775.72"
10/12/2023,"VENMO* 10/12 PMNT SENT Visa Direct NY","-10.00","2,765.72"
10/16/2023,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-88.28","2,677.44"
10/16/2023,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX3042 CO ID:XXXXX52494 WEB","-17.09","2,660.35"
10/19/2023,"GOOGLE *FIBER HBx53L 10/18 PURCHASE g.co/helppay# CA","-70.00","2,590.35"
10/20/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.26","5,316.61"
10/23/2023,"Online Banking payment to CRD 3827 Confirmation# XXXXX97446","-670.00","4,646.61"
10/24/2023,"The Park Apartme DES:WEB PMTS ID:936JQB INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-57.97","4,588.64"
11/03/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.26","7,314.90"
11/06/2023,"The Park Apartme DES:WEB PMTS ID:Y6QWSB INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,415.00","4,899.90"
11/08/2023,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX4062 CO ID:XXXXX52494 WEB","-17.17","4,882.73"
11/17/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.28","7,609.01"
11/20/2023,"GOOGLE *FIBER GK9JXG 11/18 PURCHASE g.co/helppay# CA","-70.00","7,539.01"
11/21/2023,"Online Banking transfer to SAV 0501 Confirmation# XXXXX90445","-4,000.00","3,539.01"
11/24/2023,"BANK OF AMERICA CREDIT CARD Bill Payment","-850.05","2,688.96"
12/01/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.26","5,415.22"
12/04/2023,"Bank of America Credit Card Bill Payment","-1,501.47","3,913.75"
12/06/2023,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-49.37","3,864.38"
12/12/2023,"The Park Apartme DES:WEB PMTS ID:C6B1YB INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,524.19","1,340.19"
12/12/2023,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX8836 CO ID:XXXXX52494 WEB","-21.87","1,318.32"
12/15/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,705.88","4,024.20"
12/19/2023,"GOOGLE *FIBER 7WSL4Q 12/18 PURCHASE g.co/helppay# CA","-70.00","3,954.20"
12/27/2023,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-59.21","3,894.99"
12/29/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.27","6,621.26"
12/29/2023,"Bank of America Credit Card Bill Payment","-675.37","5,945.89"
01/02/2024,"The Park Apartme DES:WEB PMTS ID:Z4P8ZB INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,415.00","3,530.89"
01/02/2024,"The Park Apartme DES:WEB PMTS ID:Y4P8ZB INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-58.42","3,472.47"
01/04/2024,"Online Banking transfer to SAV 0501 Confirmation# XXXXX15433","-3,000.00","472.47"
01/09/2024,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX8524 CO ID:XXXXX52494 WEB","-26.70","445.77"
01/12/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,737.29","3,183.06"
01/12/2024,"VENMO* 01/12 PMNT SENT Visa Direct NY","-26.00","3,157.06"
01/17/2024,"BANK OF AMERICA CREDIT CARD Bill Payment","-675.37","2,481.69"
01/19/2024,"GOOGLE *FIBER GDSBCS 01/18 PURCHASE g.co/helppay# CA","-70.00","2,411.69"
01/26/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,737.29","5,148.98"
01/26/2024,"VENMO *Paul K 01/26 PMNT SENT Visa Direct NY","-22.00","5,126.98"
01/29/2024,"American Nationa DES:WEB PMTS ID:Y0Z92C INDN:Filipe de Carvalho Nas CO ID:XXXXX88861 WEB","-284.00","4,842.98"
01/30/2024,"MINT MOBILE 01/29 PURCHASE 800-683-7392 CA","-225.96","4,617.02"
02/02/2024,"ACTIVISION BLIZZ DES:DIRECT-PAY ID: 64127817 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD","70.00","4,687.02"
02/05/2024,"The Park Apartme DES:WEB PMTS ID:RYLP3C INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,472.73","2,214.29"
02/06/2024,"Bank of America Credit Card Bill Payment","-222.28","1,992.01"
02/06/2024,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-85.88","1,906.13"
02/06/2024,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX5470 CO ID:XXXXX52494 WEB","-23.39","1,882.74"
02/09/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,737.29","4,620.03"
02/12/2024,"Online Banking transfer to SAV 0501 Confirmation# XXXXX87538","-4,000.00","620.03"
02/13/2024,"ACTIVISION BLIZZ DES:DIRECT-PAY ID: 64924953 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD","70.00","690.03"
02/23/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,472.22","3,162.25"
02/26/2024,"BANK OF AMERICA CREDIT CARD Bill Payment","-403.39","2,758.86"
02/27/2024,"VENMO *Vinod 02/27 PMNT SENT Visa Direct NY","-174.00","2,584.86"
03/01/2024,"The Park Apartme DES:WEB PMTS ID:NP5H6C INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,471.60","113.26"
03/08/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,472.21","2,585.47"
03/08/2024,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-65.31","2,520.16"
03/08/2024,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX0982 CO ID:XXXXX52494 WEB","-29.29","2,490.87"
03/11/2024,"FRANCHISE TAX BD DES:CASTTAXRFD ID:XXXXX4065 INDN:DE CARVALHO NASCI, FIL CO ID:XXXXX32045 PPD","115.00","2,605.87"
03/15/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","1,397.50","4,003.37"
03/20/2024,"IRS TREAS 310 DES: TAX REF ID:XXXXXXXXXX00989 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX36946 PPD","1,689.00","5,692.37"
03/22/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,532.27","8,224.64"
03/25/2024,"VENMO *Rafael 03/23 PMNT SENT Visa Direct NY","-21.00","8,203.64"
03/25/2024,"BANK OF AMERICA CREDIT CARD Bill Payment","-3,175.47","5,028.17"
03/28/2024,"BANK OF AMERICA CREDIT CARD Bill Payment","-1,176.56","3,851.61"
04/02/2024,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-70.84","3,780.77"
04/03/2024,"The Park Apartme DES:WEB PMTS ID:JPCSBC INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,542.54","1,238.23"
04/05/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,532.26","3,770.49"
04/16/2024,"Bank of America Credit Card Bill Payment","-1,256.83","2,513.66"
04/19/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,501.92","5,015.58"
04/23/2024,"The Park Apartme DES:WEB PMTS ID:RP8SDC INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,515.00","2,500.58"
05/03/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,501.91","5,002.49"
05/06/2024,"The Park Apartme DES:WEB PMTS ID:Z93QGC INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-57.10","4,945.39"
05/17/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,501.91","7,447.30"
05/20/2024,"Bank of America Credit Card Bill Payment","-909.12","6,538.18"
05/23/2024,"VENMO *Rafael 05/23 PMNT SENT Visa Direct NY","-54.00","6,484.18"
05/31/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,501.92","8,986.10"
06/03/2024,"Online Banking transfer to SAV 0501 Confirmation# XXXXX70121","-5,000.00","3,986.10"
06/03/2024,"The Park Apartme DES:WEB PMTS ID:4C6JKC INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,574.55","1,411.55"
06/06/2024,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-51.80","1,359.75"
06/10/2024,"Zelle payment to WILLIAM B. BENNETT & ASSOCIATES LTD for "translation services"; Conf# hlavtp74n","-240.00","1,119.75"
06/14/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,501.92","3,621.67"
06/17/2024,"BANK OF AMERICA CREDIT CARD Bill Payment","-1,017.21","2,604.46"
06/28/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,501.91","5,106.37"
07/02/2024,"The Park Apartme DES:WEB PMTS ID:NCW1PC INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,575.75","2,530.62"
07/09/2024,"Zelle payment to JORDAN BLITZSTEIN Conf# i9cel05ud","-300.00","2,230.62"
07/12/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,501.92","4,732.54"
07/12/2024,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-74.68","4,657.86"
07/22/2024,"Online Banking payment to CRD 3827 Confirmation# XXXXX12243","-1,165.31","3,492.55"
07/26/2024,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,501.90","5,994.45"
07/29/2024,"MINT MOBILE 07/27 PURCHASE 800-683-7392 CA","-227.23","5,767.22"
